id,currency_code,currency_name,country_name,default_holiday_calendar,configuration_date,created_by,created_date,modified_by,modified_date,transaction_id
1,KWD,Kuwaiti Dinar,2,None,2023-12-31,revolutio_admin.antarescentral,2024-09-16 20:34:27,revolutio_admin.antarescentral,2024-09-16 20:34:27,pE06kf5JjfVr69FW
2,AED,UAE Dirham,3,None,2023-12-31,revolutio_admin.antarescentral,2024-09-16 20:34:52,revolutio_admin.antarescentral,2024-09-16 20:34:52,2f5meYU1lRg3FhWz
4,USD,United States Dollar,5,None,2024-06-30,revolutio_admin2.antarescentral,2024-09-17 23:42:50,revolutio_admin2.antarescentral,2024-09-17 23:42:50,Rgm6MATGnbH3bAAh
5,EGP,Egyptian Pound,6,None,2024-06-30,revolutio_admin2.antarescentral,2024-09-17 23:42:50,revolutio_admin2.antarescentral,2024-09-17 23:42:50,Rgm6MATGnbH3bAAh
6,GBP,Pound sterling,7,None,2024-06-30,revolutio_admin2.antarescentral,2024-09-17 23:42:50,revolutio_admin2.antarescentral,2024-09-17 23:42:50,Rgm6MATGnbH3bAAh
7,EUR,Euro,8,None,2024-06-30,revolutio_admin2.antarescentral,2024-09-17 23:42:50,revolutio_admin2.antarescentral,2024-09-17 23:42:50,Rgm6MATGnbH3bAAh
8,JPY,Japanese Yen,9,None,2024-06-30,revolutio_admin2.antarescentral,2024-09-17 23:42:50,revolutio_admin2.antarescentral,2024-09-17 23:42:50,Rgm6MATGnbH3bAAh
9,MUR,Mauritian Rupee,10,None,2024-06-30,revolutio_admin2.antarescentral,2024-09-17 23:42:50,revolutio_admin2.antarescentral,2024-09-17 23:42:50,Rgm6MATGnbH3bAAh
10,SGD,Singapore Dollar,11,None,2024-06-30,revolutio_admin2.antarescentral,2024-09-17 23:42:50,revolutio_admin2.antarescentral,2024-09-17 23:42:50,Rgm6MATGnbH3bAAh
11,AUD,Australian Dollar,12,None,2024-06-30,revolutio_admin2.antarescentral,2024-09-17 23:42:50,revolutio_admin2.antarescentral,2024-09-17 23:42:50,Rgm6MATGnbH3bAAh
12,CAD,Canadian Dollar,13,None,2024-06-30,revolutio_admin2.antarescentral,2024-09-17 23:42:50,revolutio_admin2.antarescentral,2024-09-17 23:42:50,Rgm6MATGnbH3bAAh
3,INR,Indian Rupee,4,None,2019-06-13,revolutio_admin2.antarescentral,2024-09-17 23:42:50,revolutio_admin2.antarescentral,2024-10-11 10:14:19,Rgm6MATGnbH3bAAh
